"party_id","party_name","acronym"
1,All People's Congress,APC
2,Convention People's Party,CPP
3,Democratic Freedom Party,DFP
4,Democratic People's,DPP
5,Ghana Freedom Party,GFP
6,Ghana Union Movement,GUM
7,Grand Coalition,GC
8,Great Alliance,GA
9,Great Consolidated Popular Party,GCPP
10,Independent,IND
11,Liberal Party of Ghana,LPG
12,National Democratic Congress,NDC
13,National Democratic Party,NDP
14,National Independence Party,NIP
15,National Reform Party,NRP
16,New Patriotic Party,NPP
17,People's Action Party,PAP
18,People's Heritage Party,PHP
19,People's National Convention,PNC
20,Progressive Alliance,PA
21,Progressive People's Party,PPP
22,Reformed Patriotic Democrats,RPD
23,United Front Party,UFP
24,United Ghana Movement,UGM
25,United Progressive Party,UPP
